epoch,iso_utc,http_code,latency_ms,success,curl_exit,error
1771650813,2026-02-21T05:13:33Z,200,305.658,1,0,
1771650819,2026-02-21T05:13:39Z,200,416.959,1,0,
1771650824,2026-02-21T05:13:44Z,200,554.161,1,0,
1771650830,2026-02-21T05:13:50Z,200,224.798,1,0,
1771650835,2026-02-21T05:13:55Z,200,438.606,1,0,
1771650841,2026-02-21T05:14:01Z,200,246.648,1,0,
1771650847,2026-02-21T05:14:07Z,200,244.977,1,0,
1771650852,2026-02-21T05:14:12Z,200,188.914,1,0,
1771650857,2026-02-21T05:14:17Z,200,304.675,1,0,
1771650863,2026-02-21T05:14:23Z,200,202.717,1,0,
1771650868,2026-02-21T05:14:28Z,200,268.219,1,0,
1771650874,2026-02-21T05:14:34Z,200,184.413,1,0,
1771650879,2026-02-21T05:14:39Z,200,432.839,1,0,
1771650885,2026-02-21T05:14:45Z,200,329.047,1,0,
1771650891,2026-02-21T05:14:51Z,200,241.102,1,0,
1771650896,2026-02-21T05:14:56Z,200,219.319,1,0,
1771650901,2026-02-21T05:15:01Z,200,248.534,1,0,
1771650907,2026-02-21T05:15:07Z,200,503.844,1,0,
1771650913,2026-02-21T05:15:13Z,200,345.651,1,0,
1771650918,2026-02-21T05:15:18Z,200,671.116,1,0,
1771650924,2026-02-21T05:15:24Z,200,201.766,1,0,
1771650929,2026-02-21T05:15:29Z,200,239.109,1,0,
1771650935,2026-02-21T05:15:35Z,200,329.642,1,0,
1771650940,2026-02-21T05:15:41Z,200,301.082,1,0,
1771650946,2026-02-21T05:15:46Z,200,667.048,1,0,
1771650952,2026-02-21T05:15:52Z,200,186.041,1,0,
1771650957,2026-02-21T05:15:57Z,200,377.622,1,0,
1771650963,2026-02-21T05:16:03Z,200,1005.332,1,0,
1771650969,2026-02-21T05:16:09Z,200,429.705,1,0,
1771650975,2026-02-21T05:16:15Z,200,256.496,1,0,
1771650980,2026-02-21T05:16:20Z,200,251.058,1,0,
1771650986,2026-02-21T05:16:26Z,200,570.658,1,0,
1771650991,2026-02-21T05:16:31Z,200,214.332,1,0,
1771650997,2026-02-21T05:16:37Z,200,492.088,1,0,
1771651003,2026-02-21T05:16:43Z,200,223.875,1,0,
1771651008,2026-02-21T05:16:48Z,200,633.000,1,0,
1771651014,2026-02-21T05:16:54Z,200,322.825,1,0,
1771651019,2026-02-21T05:16:59Z,200,1075.405,1,0,
1771651026,2026-02-21T05:17:06Z,200,381.301,1,0,
1771651031,2026-02-21T05:17:11Z,200,258.767,1,0,
1771651037,2026-02-21T05:17:17Z,200,204.930,1,0,
1771651042,2026-02-21T05:17:22Z,200,339.131,1,0,
1771651048,2026-02-21T05:17:28Z,200,246.959,1,0,
1771651053,2026-02-21T05:17:33Z,200,698.344,1,0,
1771651059,2026-02-21T05:17:39Z,200,218.968,1,0,
1771651065,2026-02-21T05:17:45Z,200,170.796,1,0,
1771651070,2026-02-21T05:17:50Z,200,171.425,1,0,
1771651075,2026-02-21T05:17:55Z,200,257.782,1,0,
1771651081,2026-02-21T05:18:01Z,200,432.051,1,0,
1771651086,2026-02-21T05:18:06Z,200,308.483,1,0,
1771651092,2026-02-21T05:18:12Z,200,357.111,1,0,
